time,ax,ay,az,bx,by,bz
58972340.0,2288.0,672.0,21956.0,-32.0,892.0,17604.0
59374340.0,2240.0,628.0,22272.0,-60.0,752.0,17892.0
59776340.0,2536.0,456.0,22184.0,180.0,916.0,17940.0
60178340.0,2296.0,360.0,22504.0,16.0,684.0,18272.0
60580340.0,2316.0,672.0,22152.0,32.0,732.0,17916.0
60982340.0,2180.0,660.0,22132.0,-100.0,1008.0,17824.0
61384340.0,1904.0,508.0,22496.0,-152.0,808.0,18176.0
61786340.0,2616.0,548.0,22160.0,-24.0,700.0,18016.0
62188340.0,2004.0,492.0,22312.0,-220.0,752.0,18164.0
62590340.0,2340.0,452.0,22132.0,-88.0,748.0,18008.0
62992340.0,2464.0,720.0,21956.0,48.0,912.0,17804.0
63394340.0,2396.0,496.0,22024.0,-60.0,812.0,18192.0
63796340.0,2456.0,504.0,22168.0,24.0,768.0,17912.0
64198340.0,2440.0,524.0,22312.0,-48.0,824.0,17920.0
64600340.0,2500.0,548.0,22112.0,76.0,836.0,17720.0
65002340.0,2348.0,516.0,22092.0,-52.0,704.0,17976.0
65404340.0,2228.0,680.0,22120.0,-24.0,868.0,17828.0
65806340.0,2268.0,680.0,21876.0,-12.0,992.0,17880.0
66208340.0,2116.0,624.0,22060.0,-136.0,916.0,17948.0
66610340.0,2356.0,560.0,22152.0,84.0,848.0,18112.0
67012340.0,2116.0,524.0,22320.0,-84.0,692.0,18140.0
67414340.0,2292.0,436.0,22328.0,-56.0,872.0,17972.0
67816340.0,2220.0,580.0,22024.0,-104.0,796.0,18024.0
68218340.0,2304.0,600.0,22252.0,56.0,880.0,17992.0
68620340.0,2436.0,596.0,22196.0,32.0,844.0,18028.0
69022340.0,2152.0,600.0,22156.0,-96.0,796.0,18104.0
69424340.0,2288.0,600.0,22176.0,-88.0,856.0,18028.0
69826340.0,2500.0,624.0,22200.0,12.0,880.0,17948.0
70228340.0,2264.0,716.0,22060.0,8.0,732.0,18060.0
70630340.0,2360.0,456.0,21980.0,136.0,796.0,17884.0
71032340.0,2240.0,564.0,22252.0,-64.0,856.0,17960.0
71434340.0,2272.0,600.0,22024.0,148.0,944.0,17988.0
71836340.0,2156.0,556.0,22232.0,-40.0,904.0,17972.0
72238340.0,2292.0,560.0,22028.0,92.0,824.0,17924.0
72640340.0,2248.0,700.0,22136.0,-72.0,820.0,18036.0
73042340.0,2252.0,668.0,22308.0,-12.0,840.0,18108.0
73444340.0,2144.0,492.0,22240.0,8.0,724.0,17928.0
73846340.0,2248.0,464.0,22132.0,24.0,776.0,18052.0
74248340.0,2192.0,616.0,22196.0,24.0,884.0,18088.0
74650340.0,2180.0,464.0,22188.0,-52.0,716.0,18148.0
75052340.0,2360.0,568.0,22204.0,100.0,908.0,17968.0
75454340.0,2300.0,592.0,22144.0,-64.0,752.0,18124.0
75856340.0,2156.0,556.0,22400.0,-68.0,840.0,17944.0
76258340.0,2252.0,748.0,22036.0,68.0,868.0,17836.0
76660340.0,2284.0,516.0,22332.0,-4.0,804.0,18108.0
77062340.0,2212.0,568.0,22156.0,-16.0,812.0,17864.0
77464340.0,2320.0,636.0,22104.0,52.0,812.0,18032.0
77866340.0,2396.0,472.0,22312.0,12.0,708.0,17912.0
78268340.0,2204.0,596.0,21940.0,24.0,840.0,18124.0
78670340.0,2396.0,500.0,22088.0,72.0,860.0,17980.0
79072340.0,2304.0,596.0,22228.0,-40.0,828.0,18012.0
79474340.0,2284.0,592.0,22276.0,-20.0,704.0,17896.0
79876340.0,2316.0,856.0,22024.0,-40.0,948.0,17932.0
80278340.0,2084.0,560.0,22144.0,-96.0,896.0,17952.0
80680340.0,2120.0,732.0,22116.0,24.0,800.0,18048.0
81082340.0,2228.0,524.0,22128.0,32.0,844.0,18040.0
81484340.0,2332.0,580.0,22240.0,-40.0,824.0,18124.0
81886340.0,2272.0,492.0,22048.0,-12.0,836.0,17928.0
82288340.0,2332.0,656.0,22144.0,24.0,704.0,18088.0
82690340.0,2248.0,668.0,22132.0,-32.0,820.0,18080.0
83092340.0,2304.0,544.0,22048.0,40.0,844.0,17912.0
83494340.0,2392.0,404.0,22080.0,96.0,720.0,18024.0
83896340.0,2320.0,560.0,22248.0,-24.0,860.0,18012.0
84298340.0,2384.0,604.0,22016.0,92.0,840.0,17928.0
84700340.0,2216.0,616.0,22252.0,-8.0,780.0,17924.0
85102340.0,2332.0,688.0,21956.0,28.0,868.0,17928.0
85504340.0,2300.0,516.0,22184.0,-96.0,824.0,18044.0
85906340.0,2132.0,568.0,22068.0,-56.0,692.0,18020.0
86308340.0,2252.0,712.0,22008.0,104.0,692.0,18000.0
86710340.0,2292.0,372.0,22212.0,16.0,692.0,17928.0
87112340.0,2008.0,648.0,22104.0,-212.0,744.0,18020.0
87514340.0,2452.0,704.0,21620.0,304.0,1100.0,17768.0
87916340.0,2244.0,476.0,21956.0,8.0,812.0,18056.0
88318340.0,2340.0,536.0,22092.0,16.0,760.0,18088.0
88720340.0,2328.0,532.0,22112.0,4.0,824.0,17856.0
89122340.0,2244.0,504.0,21884.0,48.0,844.0,17968.0
89524340.0,2108.0,624.0,22072.0,-52.0,828.0,17892.0
89926340.0,2316.0,552.0,22304.0,-160.0,912.0,17952.0
90328350.0,2312.0,576.0,21964.0,36.0,768.0,18004.0
90730340.0,2088.0,472.0,22292.0,-132.0,760.0,18112.0
91132340.0,2572.0,532.0,22036.0,76.0,944.0,17856.0
91534340.0,2304.0,640.0,21968.0,92.0,960.0,18028.0
91936340.0,2260.0,704.0,22104.0,-84.0,892.0,17904.0
92338340.0,2168.0,580.0,22108.0,-76.0,804.0,17892.0
92740340.0,2160.0,596.0,22340.0,-184.0,788.0,18016.0
93142340.0,2380.0,628.0,22200.0,-48.0,888.0,17828.0
93544340.0,2324.0,516.0,21900.0,108.0,852.0,17932.0
93946340.0,2332.0,556.0,22392.0,24.0,756.0,18064.0
94348340.0,2172.0,644.0,22020.0,-176.0,864.0,17728.0
94750340.0,2396.0,624.0,22016.0,116.0,904.0,18068.0
95152340.0,2156.0,504.0,22176.0,40.0,704.0,18084.0
95554340.0,2576.0,624.0,22104.0,176.0,936.0,17928.0
